网络类型,授权方向,授权策略,IP协议,端口范围,优先级,源IP地址段,源IPv6地址段,源安全组,源端安全组名称,源安全组所属阿里云账户ID,源端端口范围,目标IP地址段,目的IPv6地址段,目标安全组,目的端安全组名称,目标安全组所属阿里云账户ID,描述信息,创建时间（UTC）,,,所属安全组,所属安全组名称
intranet,ingress,Accept,ALL,-1/-1,1,47.97.73.210,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,47.97.27.142,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,47.97.7.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,120.55.12.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,118.31.246.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,118.31.165.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,47.97.118.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,118.31.118.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,47.99.171.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,121.43.174.187,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,121.43.179.168,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,114.55.125.94,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,47.97.116.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
intranet,ingress,Accept,ALL,-1/-1,1,47.98.52.0/24,,,,,,,,,,,DTS服务添加安全组，请勿删除,2021-06-01T16:54:07Z,,,,
